,syllable,count,P,F
3031,pu,5,4.9473e-06,0.9869330843
3032,pryːft,5,4.9473e-06,0.9869380316
3033,pm,5,4.9473e-06,0.9869429789
3034,ploː,5,4.9473e-06,0.9869479263
3035,pja,5,4.9473e-06,0.9869528736
3036,pʊs,5,4.9473e-06,0.986957821
3037,pɔm,5,4.9473e-06,0.9869627683
3038,nsrə,5,4.9473e-06,0.9869677156
3039,niːs,5,4.9473e-06,0.986972663
3040,nfah,5,4.9473e-06,0.9869776103
3041,nʊs,5,4.9473e-06,0.9869825577
3042,nɔʏnts,5,4.9473e-06,0.986987505
3043,nɔʏnt,5,4.9473e-06,0.9869924523
3044,nɔɐs,5,4.9473e-06,0.9869973997
3045,nɪɡ,5,4.9473e-06,0.987002347
3046,nɪŋs,5,4.9473e-06,0.9870072944
3047,nɛŋk,5,4.9473e-06,0.9870122417
3048,nɛːst,5,4.9473e-06,0.987017189
3049,nɛːç,5,4.9473e-06,0.9870221364
3050,nəlt,5,4.9473e-06,0.9870270837
3051,mos,5,4.9473e-06,0.9870320311
3052,meːs,5,4.9473e-06,0.9870369784
3053,mals,5,4.9473e-06,0.9870419257
3054,mal,5,4.9473e-06,0.9870468731
3055,mʏ,5,4.9473e-06,0.9870518204
3056,mɒar,5,4.9473e-06,0.9870567678
3057,mɪk,5,4.9473e-06,0.9870617151
3058,mɛts,5,4.9473e-06,0.9870666624
3059,mɛnh,5,4.9473e-06,0.9870716098
3060,mɛːt,5,4.9473e-06,0.9870765571
3061,mœl,5,4.9473e-06,0.9870815045
3062,mɐn,5,4.9473e-06,0.9870864518
3063,ly,5,4.9473e-06,0.9870913991
3064,lak,5,4.9473e-06,0.9870963465
3065,laʊb,5,4.9473e-06,0.9871012938
3066,laɪjt,5,4.9473e-06,0.9871062412
3067,laːx,5,4.9473e-06,0.9871111885
3068,lʏm,5,4.9473e-06,0.9871161359
3069,lʊf,5,4.9473e-06,0.9871210832
3070,lɔn,5,4.9473e-06,0.9871260305
3071,lɔ,5,4.9473e-06,0.9871309779
3072,lɪst,5,4.9473e-06,0.9871359252
3073,lɪp,5,4.9473e-06,0.9871408726
3074,lɛ,5,4.9473e-06,0.9871458199
3075,kvɛt,5,4.9473e-06,0.9871507672
3076,kroː,5,4.9473e-06,0.9871557146
3077,krɪp,5,4.9473e-06,0.9871606619
3078,knaɪp,5,4.9473e-06,0.9871656093
3079,knɔpf,5,4.9473e-06,0.9871705566
3080,knɪp,5,4.9473e-06,0.9871755039
3081,klʊp,5,4.9473e-06,0.9871804513
3082,kiːs,5,4.9473e-06,0.9871853986
3083,kaɪts,5,4.9473e-06,0.987190346
3084,kʏnst,5,4.9473e-06,0.9871952933
3085,kʏn,5,4.9473e-06,0.9872002406
3086,kɔʏ,5,4.9473e-06,0.987205188
3087,kɛnt,5,4.9473e-06,0.9872101353
3088,kɛm,5,4.9473e-06,0.9872150827
3089,jal,5,4.9473e-06,0.98722003
3090,j,5,4.9473e-06,0.9872249773
3091,iːs,5,4.9473e-06,0.9872299247
3092,hiːm,5,4.9473e-06,0.987234872
3093,haxt,5,4.9473e-06,0.9872398194
3094,hans,5,4.9473e-06,0.9872447667
3095,haːs,5,4.9473e-06,0.987249714
3096,haːn,5,4.9473e-06,0.9872546614
3097,haːkt,5,4.9473e-06,0.9872596087
3098,haːŋ,5,4.9473e-06,0.9872645561
3099,hʏpʃ,5,4.9473e-06,0.9872695034
3100,hʊŋs,5,4.9473e-06,0.9872744507
3101,hɪlft,5,4.9473e-06,0.9872793981
3102,hɪks,5,4.9473e-06,0.9872843454
3103,hɛlft,5,4.9473e-06,0.9872892928
3104,høːɐs,5,4.9473e-06,0.9872942401
3105,h,5,4.9473e-06,0.9872991874
3106,ɡruːt,5,4.9473e-06,0.9873041348
3107,ɡrams,5,4.9473e-06,0.9873090821
3108,ɡnɪs,5,4.9473e-06,0.9873140295
3109,ɡlʏ,5,4.9473e-06,0.9873189768
3110,ɡlɔʏ,5,4.9473e-06,0.9873239242
3111,ɡlɪst,5,4.9473e-06,0.9873288715
3112,ɡaɪl,5,4.9473e-06,0.9873338188
3113,ɡʊkt,5,4.9473e-06,0.9873387662
3114,ɡʃtal,5,4.9473e-06,0.9873437135
3115,ɡʃprɛːç,5,4.9473e-06,0.9873486609
3116,ɡʃlaː,5,4.9473e-06,0.9873536082
3117,ɡʃɪk,5,4.9473e-06,0.9873585555
3118,ɡʃɪç,5,4.9473e-06,0.9873635029
3119,ɡɪt,5,4.9473e-06,0.9873684502
3120,ɡɪlt,5,4.9473e-06,0.9873733976
3121,ɡœm,5,4.9473e-06,0.9873783449
3122,fuːt,5,4.9473e-06,0.9873832922
3123,fu,5,4.9473e-06,0.9873882396
3124,ftɪç,5,4.9473e-06,0.9873931869
3125,fran,5,4.9473e-06,0.9873981343
3126,frɔʏm,5,4.9473e-06,0.9874030816
3127,frɛmt,5,4.9473e-06,0.9874080289
3128,fos,5,4.9473e-06,0.9874129763
3129,fluːf,5,4.9473e-06,0.9874179236
3130,fʊ,5,4.9473e-06,0.987422871
3131,fɒɛk,5,4.9473e-06,0.9874278183
3132,fɔɐn,5,4.9473e-06,0.9874327656
3133,fəŋ,5,4.9473e-06,0.987437713
3134,eːs,5,4.9473e-06,0.9874426603
3135,dvɛn,5,4.9473e-06,0.9874476077
3136,dreːt,5,4.9473e-06,0.987452555
3137,dram,5,4.9473e-06,0.9874575023
3138,drɛŋ,5,4.9473e-06,0.9874624497
3139,drɛ,5,4.9473e-06,0.987467397
3140,doːs,5,4.9473e-06,0.9874723444
3141,doːm,5,4.9473e-06,0.9874772917
3142,dnɐ,5,4.9473e-06,0.987482239
3143,den,5,4.9473e-06,0.9874871864
3144,deːr,5,4.9473e-06,0.9874921337
3145,dart,5,4.9473e-06,0.9874970811
3146,dʒeːms,5,4.9473e-06,0.9875020284
3147,dʒɛt,5,4.9473e-06,0.9875069758
3148,dʊ,5,4.9473e-06,0.9875119231
3149,dɔs,5,4.9473e-06,0.9875168704
3150,bzɔn,5,4.9473e-06,0.9875218178
3151,bu,5,4.9473e-06,0.9875267651
3152,bsən,5,4.9473e-06,0.9875317125
3153,broːt,5,4.9473e-06,0.9875366598
3154,broːl,5,4.9473e-06,0.9875416071
3155,braʊxs,5,4.9473e-06,0.9875465545
3156,braɪ,5,4.9473e-06,0.9875515018
3157,bliːm,5,4.9473e-06,0.9875564492
3158,bliːb,5,4.9473e-06,0.9875613965
3159,bleːn,5,4.9473e-06,0.9875663438
3160,biːr,5,4.9473e-06,0.9875712912
3161,be,5,4.9473e-06,0.9875762385
3162,baːrs,5,4.9473e-06,0.9875811859
3163,bɔl,5,4.9473e-06,0.9875861332
3164,ats,5,4.9473e-06,0.9875910805
3165,ark,5,4.9473e-06,0.9875960279
3166,amts,5,4.9473e-06,0.9876009752
3167,ams,5,4.9473e-06,0.9876059226
3168,aɪç,5,4.9473e-06,0.9876108699
3169,aːp,5,4.9473e-06,0.9876158172
3170,ʃyːɐ,5,4.9473e-06,0.9876207646
3171,ʃveːp,5,4.9473e-06,0.9876257119
3172,ʃvaɪts,5,4.9473e-06,0.9876306593
3173,ʃtraːl,5,4.9473e-06,0.9876356066
3174,ʃtɔl,5,4.9473e-06,0.9876405539
3175,ʃtɔf,5,4.9473e-06,0.9876455013
3176,ʃtɔʏ,5,4.9473e-06,0.9876504486
3177,ʃtɪft,5,4.9473e-06,0.987655396
3178,ʃtɛː,5,4.9473e-06,0.9876603433
3179,ʃraŋk,5,4.9473e-06,0.9876652906
3180,ʃraː,5,4.9473e-06,0.987670238
3181,ʃrɛŋk,5,4.9473e-06,0.9876751853
3182,ʃpannt,5,4.9473e-06,0.9876801327
3183,ʃpaːx,5,4.9473e-06,0.98768508
3184,ʃp,5,4.9473e-06,0.9876900273
3185,ʃnaɪt,5,4.9473e-06,0.9876949747
3186,ʃmar,5,4.9473e-06,0.987699922
3187,ʃmak,5,4.9473e-06,0.9877048694
3188,ʃliːts,5,4.9473e-06,0.9877098167
3189,ʃla,5,4.9473e-06,0.9877147641
3190,ʃlʏs,5,4.9473e-06,0.9877197114
3191,ʃlɪç,5,4.9473e-06,0.9877246587
3192,ʃart,5,4.9473e-06,0.9877296061
3193,ʃɛɐ,5,4.9473e-06,0.9877345534
3194,ɒalt,5,4.9473e-06,0.9877395008
3195,ɒaɪŋlç,5,4.9473e-06,0.9877444481
3196,ɒɔs,5,4.9473e-06,0.9877493954
3197,ɒɪk,5,4.9473e-06,0.9877543428
3198,ɒœɐ,5,4.9473e-06,0.9877592901
3199,ɒø,5,4.9473e-06,0.9877642375
3200,ŋəʃ,5,4.9473e-06,0.9877691848
3201,ɪtʃ,5,4.9473e-06,0.9877741321
3202,ɪr,5,4.9473e-06,0.9877790795
3203,ɪnts,5,4.9473e-06,0.9877840268
3204,ɪɡ,5,4.9473e-06,0.9877889742
3205,çɒar,5,4.9473e-06,0.9877939215
3206,çəl,5,4.9473e-06,0.9877988688
3207,zoːm,4,3.9579e-06,0.9878028267
3208,znɪk,4,3.9579e-06,0.9878067846
3209,ziːts,4,3.9579e-06,0.9878107425
3210,zakt,4,3.9579e-06,0.9878147003
3211,zʊm,4,3.9579e-06,0.9878186582
3212,zʊŋs,4,3.9579e-06,0.9878226161
3213,zɔɐɡ,4,3.9579e-06,0.9878265739
3214,zɛlt,4,3.9579e-06,0.9878305318
3215,zɛlb,4,3.9579e-06,0.9878344897
3216,zɛŋ,4,3.9579e-06,0.9878384476
3217,xɒar,4,3.9579e-06,0.9878424054
3218,viːz,4,3.9579e-06,0.9878463633
3219,viːr,4,3.9579e-06,0.9878503212
3220,vanss,4,3.9579e-06,0.9878542791
3221,valç,4,3.9579e-06,0.9878582369
3222,vaɪns,4,3.9579e-06,0.9878621948
3223,vʊɐn,4,3.9579e-06,0.9878661527
3224,vɔs,4,3.9579e-06,0.9878701105
3225,vɔh,4,3.9579e-06,0.9878740684
3226,vɪçt,4,3.9579e-06,0.9878780263
3227,vɪɐs,4,3.9579e-06,0.9878819842
3228,vɛlç,4,3.9579e-06,0.987885942
3229,vɛʃ,4,3.9579e-06,0.9878898999
3230,vɛːr,4,3.9579e-06,0.9878938578
3231,vɛɐp,4,3.9579e-06,0.9878978157
3232,vənz,4,3.9579e-06,0.9879017735
3233,vøːnt,4,3.9579e-06,0.9879057314
3234,tsvas,4,3.9579e-06,0.9879096893
3235,tsuːm,4,3.9579e-06,0.9879136471
3236,tsnt,4,3.9579e-06,0.987917605
3237,tsiːmç,4,3.9579e-06,0.9879215629
3238,tsiːl,4,3.9579e-06,0.9879255208
3239,tsiːɐn,4,3.9579e-06,0.9879294786
3240,tsaʊn,4,3.9579e-06,0.9879334365
3241,truː,4,3.9579e-06,0.9879373944
3242,triːps,4,3.9579e-06,0.9879413522
3243,traːh,4,3.9579e-06,0.9879453101
3244,trɔk,4,3.9579e-06,0.987949268
3245,trɪn,4,3.9579e-06,0.9879532259
3246,trɪŋk,4,3.9579e-06,0.9879571837
3247,trɪ,4,3.9579e-06,0.9879611416
3248,teːn,4,3.9579e-06,0.9879650995
3249,taŋk,4,3.9579e-06,0.9879690574
3250,taːr,4,3.9579e-06,0.9879730152
3251,tʃart,4,3.9579e-06,0.9879769731
3252,tɒaʊ,4,3.9579e-06,0.987980931
3253,tɔf,4,3.9579e-06,0.9879848888
3254,tɪt,4,3.9579e-06,0.9879888467
3255,tɪl,4,3.9579e-06,0.9879928046
3256,tɛk,4,3.9579e-06,0.9879967625
3257,tərz,4,3.9579e-06,0.9880007203
3258,tœɐ,4,3.9579e-06,0.9880046782
3259,tøː,4,3.9579e-06,0.9880086361
3260,stsu,4,3.9579e-06,0.9880125939
3261,stseː,4,3.9579e-06,0.9880165518
3262,staːr,4,3.9579e-06,0.9880205097
3263,soː,4,3.9579e-06,0.9880244676
3264,snə,4,3.9579e-06,0.9880284254
3265,skrɪp,4,3.9579e-06,0.9880323833
3266,sjøː,4,3.9579e-06,0.9880363412
3267,saːɡ,4,3.9579e-06,0.9880402991
3268,sɔn,4,3.9579e-06,0.9880442569
3269,sɪçst,4,3.9579e-06,0.9880482148
3270,sɛl,4,3.9579e-06,0.9880521727
3271,sɛŋ,4,3.9579e-06,0.9880561305
3272,sɐn,4,3.9579e-06,0.9880600884
3273,raʊx,4,3.9579e-06,0.9880640463
3274,raʃt,4,3.9579e-06,0.9880680042
3275,rʏkf,4,3.9579e-06,0.988071962
3276,rʊt,4,3.9579e-06,0.9880759199
3277,rɪnt,4,3.9579e-06,0.9880798778
3278,røː,4,3.9579e-06,0.9880838357
3279,psyː,4,3.9579e-06,0.9880877935
3280,pstə,4,3.9579e-06,0.9880917514
3281,pre,4,3.9579e-06,0.9880957093
3282,praʊx,4,3.9579e-06,0.9880996671
3283,praːx,4,3.9579e-06,0.988103625
3284,prɔf,4,3.9579e-06,0.9881075829
3285,prɔʏç,4,3.9579e-06,0.9881115408
3286,pr,4,3.9579e-06,0.9881154986
3287,poːs,4,3.9579e-06,0.9881194565
3288,pl,4,3.9579e-06,0.9881234144
3289,pjɛ,4,3.9579e-06,0.9881273722
3290,piːn,4,3.9579e-06,0.9881313301
3291,pfɪŋs,4,3.9579e-06,0.988135288
3292,pʊx,4,3.9579e-06,0.9881392459
3293,pʊl,4,3.9579e-06,0.9881432037
3294,pɛs,4,3.9579e-06,0.9881471616
3295,pɛ,4,3.9579e-06,0.9881511195
3296,os,4,3.9579e-06,0.9881550774
3297,nts,4,3.9579e-06,0.9881590352
3298,neːms,4,3.9579e-06,0.9881629931
3299,nal,4,3.9579e-06,0.988166951
3300,naːt,4,3.9579e-06,0.9881709088
3301,nʏt,4,3.9579e-06,0.9881748667
3302,nʊtst,4,3.9579e-06,0.9881788246
3303,nɒaɪn,4,3.9579e-06,0.9881827825
3304,nɔʏns,4,3.9579e-06,0.9881867403
3305,nɪj,4,3.9579e-06,0.9881906982
3306,nɪçs,4,3.9579e-06,0.9881946561
3307,nɛnd,4,3.9579e-06,0.988198614
3308,nɛːçst,4,3.9579e-06,0.9882025718
3309,nənt,4,3.9579e-06,0.9882065297
3310,nœɐt,4,3.9579e-06,0.9882104876
3311,mon,4,3.9579e-06,0.9882144454
3312,maks,4,3.9579e-06,0.9882184033
3313,maɪnst,4,3.9579e-06,0.9882223612
3314,maːr,4,3.9579e-06,0.9882263191
3315,mʏɐ,4,3.9579e-06,0.9882302769
3316,mɒɛn,4,3.9579e-06,0.9882342348
3317,mɔns,4,3.9579e-06,0.9882381927
3318,mɪl,4,3.9579e-06,0.9882421505
3319,mɪŋ,4,3.9579e-06,0.9882461084
3320,məŋ,4,3.9579e-06,0.9882500663
3321,loːnt,4,3.9579e-06,0.9882540242
3322,lar,4,3.9579e-06,0.988257982
3323,lans,4,3.9579e-06,0.9882619399
3324,laʊn,4,3.9579e-06,0.9882658978
3325,lʏf,4,3.9579e-06,0.9882698557
3326,lʊ,4,3.9579e-06,0.9882738135
3327,lɒaʊʃ,4,3.9579e-06,0.9882777714
3328,lɔt,4,3.9579e-06,0.9882817293
3329,lɛp,4,3.9579e-06,0.9882856871
3330,kyːl,4,3.9579e-06,0.988289645
3331,kyː,4,3.9579e-06,0.9882936029
3332,kvi,4,3.9579e-06,0.9882975608
3333,kveːms,4,3.9579e-06,0.9883015186
3334,kvʏɐ,4,3.9579e-06,0.9883054765
3335,kvɪs,4,3.9579e-06,0.9883094344
3336,kstɛɐ,4,3.9579e-06,0.9883133923
3337,kstə,4,3.9579e-06,0.9883173501
3338,kspiːɐ,4,3.9579e-06,0.988321308
3339,kryː,4,3.9579e-06,0.9883252659
3340,kloː,4,3.9579e-06,0.9883292237
3341,klaːɐn,4,3.9579e-06,0.9883331816
3342,klɪj,4,3.9579e-06,0.9883371395
3343,klɪŋɒ,4,3.9579e-06,0.9883410974
3344,klɛːɐ,4,3.9579e-06,0.9883450552
3345,kamp,4,3.9579e-06,0.9883490131
3346,kaʊn,4,3.9579e-06,0.988352971
3347,kaɪŋ,4,3.9579e-06,0.9883569288
3348,kʊts,4,3.9579e-06,0.9883608867
3349,kʊns,4,3.9579e-06,0.9883648446
3350,kʊ,4,3.9579e-06,0.9883688025
3351,kʃtʏk,4,3.9579e-06,0.9883727603
3352,kɒaŋs,4,3.9579e-06,0.9883767182
3353,kɔmst,4,3.9579e-06,0.9883806761
3354,kɪŋ,4,3.9579e-06,0.988384634
3355,kɛɐ,4,3.9579e-06,0.9883885918
3356,jtst,4,3.9579e-06,0.9883925497
3357,jas,4,3.9579e-06,0.9883965076
3358,jaɪ,4,3.9579e-06,0.9884004654
3359,jɪn,4,3.9579e-06,0.9884044233
3360,hyː,4,3.9579e-06,0.9884083812
3361,hu,4,3.9579e-06,0.9884123391
3362,hsʃoː,4,3.9579e-06,0.9884162969
3363,hnɛn,4,3.9579e-06,0.9884202548
3364,hiːl,4,3.9579e-06,0.9884242127
3365,halb,4,3.9579e-06,0.9884281706
3366,haft,4,3.9579e-06,0.9884321284
3367,haɪss,4,3.9579e-06,0.9884360863
3368,haːk,4,3.9579e-06,0.9884400442
3369,hʊx,4,3.9579e-06,0.988444002
3370,hɔkt,4,3.9579e-06,0.9884479599
3371,hɔk,4,3.9579e-06,0.9884519178
3372,hɪlfs,4,3.9579e-06,0.9884558757
3373,hɛŋt,4,3.9579e-06,0.9884598335
3374,hɛç,4,3.9579e-06,0.9884637914
3375,ɡuːl,4,3.9579e-06,0.9884677493
3376,ɡraʊxt,4,3.9579e-06,0.9884717071
3377,ɡrɔʏm,4,3.9579e-06,0.988475665
3378,ɡrɪs,4,3.9579e-06,0.9884796229
3379,ɡrɛnts,4,3.9579e-06,0.9884835808
3380,ɡliː,4,3.9579e-06,0.9884875386
3381,ɡlaːs,4,3.9579e-06,0.9884914965
3382,ɡlaː,4,3.9579e-06,0.9884954544
3383,ɡlɪçs,4,3.9579e-06,0.9884994123
3384,ɡlɛɐnt,4,3.9579e-06,0.9885033701
3385,ɡiːn,4,3.9579e-06,0.988507328
3386,ɡbraxt,4,3.9579e-06,0.9885112859
3387,ɡal,4,3.9579e-06,0.9885152437
3388,ɡaːb,4,3.9579e-06,0.9885192016
3389,ɡʊn,4,3.9579e-06,0.9885231595
3390,ɡʊɐ,4,3.9579e-06,0.9885271174
3391,ɡʃtiː,4,3.9579e-06,0.9885310752
3392,ɡɪm,4,3.9579e-06,0.9885350331
3393,ɡəntç,4,3.9579e-06,0.988538991
3394,fyːr,4,3.9579e-06,0.9885429489
3395,fyːl,4,3.9579e-06,0.9885469067
3396,fuːɐ,4,3.9579e-06,0.9885508646
3397,ftɪ,4,3.9579e-06,0.9885548225
3398,freː,4,3.9579e-06,0.9885587803
3399,fre,4,3.9579e-06,0.9885627382
3400,foːm,4,3.9579e-06,0.9885666961
3401,foːɐn,4,3.9579e-06,0.988570654
3402,foːɐʃ,4,3.9579e-06,0.9885746118
3403,flyːɡ,4,3.9579e-06,0.9885785697
3404,flɔt,4,3.9579e-06,0.9885825276
3405,flɪm,4,3.9579e-06,0.9885864854
3406,fløː,4,3.9579e-06,0.9885904433
3407,faxs,4,3.9579e-06,0.9885944012
3408,farp,4,3.9579e-06,0.9885983591
3409,fʏɐçt,4,3.9579e-06,0.9886023169
3410,fʊts,4,3.9579e-06,0.9886062748
3411,fɛ,4,3.9579e-06,0.9886102327
3412,føː,4,3.9579e-06,0.9886141906
3413,eːt,4,3.9579e-06,0.9886181484
3414,dzəs,4,3.9579e-06,0.9886221063
3415,drʏkt,4,3.9579e-06,0.9886260642
3416,drʊn,4,3.9579e-06,0.988630022
3417,drʊkt,4,3.9579e-06,0.9886339799
3418,drɛk,4,3.9579e-06,0.9886379378
3419,dnʊ,4,3.9579e-06,0.9886418957
3420,dlʊŋ,4,3.9579e-06,0.9886458535
3421,dlə,4,3.9579e-06,0.9886498114
3422,djɔn,4,3.9579e-06,0.9886537693
3423,deːt,4,3.9579e-06,0.9886577272
3424,daɪm,4,3.9579e-06,0.988661685
3425,dʒe,4,3.9579e-06,0.9886656429
3426,dʊʃt,4,3.9579e-06,0.9886696008
3427,dɔts,4,3.9579e-06,0.9886735586
3428,dɪns,4,3.9579e-06,0.9886775165
3429,dɪm,4,3.9579e-06,0.9886814744
3430,dɛl,4,3.9579e-06,0.9886854323
3431,dər,4,3.9579e-06,0.9886893901
3432,bzuːxt,4,3.9579e-06,0.988693348
3433,bzuː,4,3.9579e-06,0.9886973059
3434,briːk,4,3.9579e-06,0.9887012637
3435,brax,4,3.9579e-06,0.9887052216
3436,brʊx,4,3.9579e-06,0.9887091795
3437,blɛn,4,3.9579e-06,0.9887131374
3438,bløːd,4,3.9579e-06,0.9887170952
3439,biːn,4,3.9579e-06,0.9887210531
3440,baʊxt,4,3.9579e-06,0.988725011
3441,baɪd,4,3.9579e-06,0.9887289689
3442,baːd,4,3.9579e-06,0.9887329267
3443,bʏɐ,4,3.9579e-06,0.9887368846
3444,bʊnt,4,3.9579e-06,0.9887408425
3445,bɛɐn,4,3.9579e-06,0.9887448003
3446,bəm,4,3.9579e-06,0.9887487582
3447,b,4,3.9579e-06,0.9887527161
3448,alp,4,3.9579e-06,0.988756674
3449,aɪnts,4,3.9579e-06,0.9887606318
3450,aːŋ,4,3.9579e-06,0.9887645897
3451,ʊk,4,3.9579e-06,0.9887685476
3452,ʊɐ,4,3.9579e-06,0.9887725055
3453,ʃvaɪn,4,3.9579e-06,0.9887764633
3454,ʃvʊŋ,4,3.9579e-06,0.9887804212
3455,ʃtuːl,4,3.9579e-06,0.9887843791
3456,ʃtrat,4,3.9579e-06,0.9887883369
3457,ʃtart,4,3.9579e-06,0.9887922948
3458,ʃtam,4,3.9579e-06,0.9887962527
3459,ʃtaʊn,4,3.9579e-06,0.9888002106
3460,ʃtaɪm,4,3.9579e-06,0.9888041684
3461,ʃtʏt,4,3.9579e-06,0.9888081263
3462,ʃtʏɐts,4,3.9579e-06,0.9888120842
3463,ʃroːt,4,3.9579e-06,0.988816042
3464,ʃraʊ,4,3.9579e-06,0.9888199999
3465,ʃraŋ,4,3.9579e-06,0.9888239578
3466,ʃpreːçs,4,3.9579e-06,0.9888279157
3467,ʃprʏŋ,4,3.9579e-06,0.9888318735
3468,ʃprɛŋ,4,3.9579e-06,0.9888358314
3469,ʃmɛk,4,3.9579e-06,0.9888397893
3470,ʃlɪms,4,3.9579e-06,0.9888437472
3471,ʃeːɐ,4,3.9579e-06,0.988847705
3472,ʃaɪm,4,3.9579e-06,0.9888516629
3473,ʃʊŋs,4,3.9579e-06,0.9888556208
3474,ʃɔf,4,3.9579e-06,0.9888595786
3475,ʃɔ,4,3.9579e-06,0.9888635365
3476,ʃɪr,4,3.9579e-06,0.9888674944
3477,ʃɪ,4,3.9579e-06,0.9888714523
3478,ʃɛɐts,4,3.9579e-06,0.9888754101
3479,ʃəs,4,3.9579e-06,0.988879368
3480,ɒok,4,3.9579e-06,0.9888833259
3481,ɒans,4,3.9579e-06,0.9888872838
3482,ɒʊts,4,3.9579e-06,0.9888912416
3483,ɒʊps,4,3.9579e-06,0.9888951995
3484,ɒɔ,4,3.9579e-06,0.9888991574
3485,ɒɛlts,4,3.9579e-06,0.9889031152
3486,ɔɐnt,4,3.9579e-06,0.9889070731
3487,ɔɐk,4,3.9579e-06,0.988911031
3488,ɛɐs,4,3.9579e-06,0.9889149889
3489,ðɐ,4,3.9579e-06,0.9889189467
3490,çəŋ,4,3.9579e-06,0.9889229046
3491,zyːt,3,2.9684e-06,0.988925873
3492,zrɐ,3,2.9684e-06,0.9889288414
3493,zntç,3,2.9684e-06,0.9889318098
3494,zns,3,2.9684e-06,0.9889347782
3495,zjoːm,3,2.9684e-06,0.9889377466
3496,zjo,3,2.9684e-06,0.988940715
3497,ziːpt,3,2.9684e-06,0.9889436834
3498,zaks,3,2.9684e-06,0.9889466518
3499,zaŋs,3,2.9684e-06,0.9889496202
3500,zaŋ,3,2.9684e-06,0.9889525886
3501,zʊnt,3,2.9684e-06,0.9889555571
3502,zɔls,3,2.9684e-06,0.9889585255
3503,zɪpt,3,2.9684e-06,0.9889614939
3504,zəŋ,3,2.9684e-06,0.9889644623
3505,yːs,3,2.9684e-06,0.9889674307
3506,xt,3,2.9684e-06,0.9889703991
3507,xəm,3,2.9684e-06,0.9889733675
3508,vyː,3,2.9684e-06,0.9889763359
3509,viz,3,2.9684e-06,0.9889793043
3510,viːl,3,2.9684e-06,0.9889822727
3511,vax,3,2.9684e-06,0.9889852411
3512,vantsst,3,2.9684e-06,0.9889882095
3513,vak,3,2.9684e-06,0.9889911779
3514,vʏst,3,2.9684e-06,0.9889941463
3515,vʊɐd,3,2.9684e-06,0.9889971147
3516,vɪp,3,2.9684e-06,0.9890000831
3517,vɪnt,3,2.9684e-06,0.9890030515
3518,vɪlst,3,2.9684e-06,0.9890060199
3519,vɛp,3,2.9684e-06,0.9890089883
3520,vɛnts,3,2.9684e-06,0.9890119567
3521,vɛɐn,3,2.9684e-06,0.9890149251
3522,vœɐt,3,2.9684e-06,0.9890178935
3523,vøː,3,2.9684e-06,0.9890208619
3524,tuːls,3,2.9684e-06,0.9890238303
3525,tsvaːn,3,2.9684e-06,0.9890267988
3526,tsuːɡ,3,2.9684e-06,0.9890297672
3527,tsjaːl,3,2.9684e-06,0.9890327356
3528,tseːk,3,2.9684e-06,0.989035704
3529,tsap,3,2.9684e-06,0.9890386724
3530,tsak,3,2.9684e-06,0.9890416408
3531,tsaɪɡ,3,2.9684e-06,0.9890446092
3532,tsɪɡ,3,2.9684e-06,0.9890475776
3533,tsɪŋ,3,2.9684e-06,0.989050546
3534,tsɪçt,3,2.9684e-06,0.9890535144
3535,tsɪɐk,3,2.9684e-06,0.9890564828
3536,tsɛk,3,2.9684e-06,0.9890594512
3537,tsɛːn,3,2.9684e-06,0.9890624196
3538,tsəm,3,2.9684e-06,0.989065388
3539,tsœlf,3,2.9684e-06,0.9890683564
3540,truːf,3,2.9684e-06,0.9890713248
3541,triːɐt,3,2.9684e-06,0.9890742932
3542,tre,3,2.9684e-06,0.9890772616
3543,trast,3,2.9684e-06,0.98908023
3544,trak,3,2.9684e-06,0.9890831984
3545,traʊp,3,2.9684e-06,0.9890861668
3546,trʊms,3,2.9684e-06,0.9890891352
3547,trɛs,3,2.9684e-06,0.9890921036
3548,trɛŋ,3,2.9684e-06,0.9890950721
3549,tlç,3,2.9684e-06,0.9890980405
3550,tãː,3,2.9684e-06,0.9891010089
3551,tant,3,2.9684e-06,0.9891039773
3552,taʃ,3,2.9684e-06,0.9891069457
3553,taɪk,3,2.9684e-06,0.9891099141
3554,tʏf,3,2.9684e-06,0.9891128825
3555,tʏ,3,2.9684e-06,0.9891158509
3556,tʃuː,3,2.9684e-06,0.9891188193
3557,tʃpɛn,3,2.9684e-06,0.9891217877
3558,tʃɪp,3,2.9684e-06,0.9891247561
3559,tʃɐs,3,2.9684e-06,0.9891277245
3560,tʃ,3,2.9684e-06,0.9891306929
3561,tɒaː,3,2.9684e-06,0.9891336613
3562,tɔs,3,2.9684e-06,0.9891366297
3563,tɔm,3,2.9684e-06,0.9891395981
3564,tɔɐ,3,2.9684e-06,0.9891425665
3565,tɛnt,3,2.9684e-06,0.9891455349
3566,svɛn,3,2.9684e-06,0.9891485033
3567,suŋs,3,2.9684e-06,0.9891514717
3568,spla,3,2.9684e-06,0.9891544401
3569,spiːtʃ,3,2.9684e-06,0.9891574085
3570,sneː,3,2.9684e-06,0.9891603769
3571,snɛ,3,2.9684e-06,0.9891633454
3572,snən,3,2.9684e-06,0.9891663138
3573,smɪç,3,2.9684e-06,0.9891692822
3574,sluːk,3,2.9684e-06,0.9891722506
3575,skɛp,3,2.9684e-06,0.989175219
3576,sbaːn,3,2.9684e-06,0.9891781874
3577,sat,3,2.9684e-06,0.9891811558
